timestamp,cross_track_error,current_velocity,goal_velocity,x_m,y_m
1739219908.742254042,0.06464505955242325,3.0139,3,-905.3692884562871,789.4553084806008
1739219908.760411981,0.06520167741634002,3.0236,3,-905.3444195479263,789.4380524793962
1739219908.776929670,0.0909917711747496,3.0492,3,-905.2786007152614,789.422367360634
1739219908.790168295,0.09230928090806777,3.0815,3,-905.2278249422028,789.3873828715807
1739219908.818213698,0.09100110404743629,3.1314,3,-905.2032480396397,789.368071359685
1739219908.836002433,0.08713629111064967,3.1303,3,-905.1283080144923,789.3093395086238
1739219908.853119707,0.08384992844338959,3.0364,3,-905.083840913479,789.2733384648211
1739219908.870632395,0.08493455526966184,3.1219,3,-905.0326418648099,789.237883099275
1739219908.886536289,0.08196205772466483,3.1587,3,-904.9830211520089,789.1986140364048
1739219908.906682819,0.0802745019035627,3.1534,3,-904.9584297054909,789.1789119009254
1739219908.924384126,0.07328440896574236,3.224,3,-904.9074939513703,789.1338036265582
1739219908.939439941,0.07230760865527845,3.2887,3,-904.8547228211211,789.0948585898416
1739219908.953116415,0.07162300439957453,3.265,3,-904.8284366888244,789.0752317950553
1739219908.966501993,0.069424033697493,3.1367,3,-904.7775461482532,789.036160173958
1739219908.979920980,0.06776470881876083,3.1442,3,-904.7527849242146,789.0164744596693
1739219908.991880431,0.06620421602967064,3.2192,3,-904.7276479740597,788.9966537977268
1739219909.4037652,0.06749695777049483,3.3155,3,-904.672802513322,788.9591751291584
1739219909.15682783,0.06672359799296386,3.2503,3,-904.6464597883555,788.9394771389015
1739219909.27259173,0.06505364903345057,3.159,3,-904.621246200822,788.9195360087988
1739219909.42292909,0.06217057976664844,3.1259,3,-904.5973205264708,788.8990213132516
1739219909.57291346,0.05428582683083282,3.2265,3,-904.5502410513701,788.8559417953294
1739219909.73445529,0.05098960665931377,3.2492,3,-904.5258594718161,788.8346350438148
1739219909.86558485,0.04835981004364192,3.2464,3,-904.474180931515,788.794888253344
1739219909.103753237,0.022108799562277934,3.259,3,-904.4728540590585,788.7618042678183
1739219909.118519982,0.020553076608460032,3.3572,3,-904.4191141495492,788.7219631495944
1739219909.131187474,0.01821679466527659,3.3168,3,-904.3931235640571,788.7008174853886
1739219909.148286477,0.01289275536745735,3.1916,3,-904.3432929840668,788.6592428723488
1739219909.163043493,0.006666364622602307,3.2288,3,-904.3276143696463,788.6405967919991
1739219909.176865065,0.003263319145404826,3.3474,3,-904.2751788760954,788.5996947401142
1739219909.189158871,0.001215256946773409,3.3232,3,-904.2490259733713,788.5788795517199
1739219909.203314766,-0.0014541556736368474,3.2838,3,-904.223666571607,788.5578614899636
1739219909.217107184,-0.007832531914521967,3.2863,3,-904.1706678656296,788.5130843335285
1739219909.232113462,-0.010912583974048975,3.3535,3,-904.145171692347,788.4915679774992
1739219909.246246924,-0.015797705843037843,3.3424,3,-904.0928403411853,788.4491563015964
1739219909.258901134,-0.01797458855572708,3.2899,3,-904.0667876622566,788.4284341340851
1739219909.273160651,-0.019891411218249718,3.2272,3,-904.0410596177918,788.4082777348332
1739219909.288514596,-0.05049374786743257,3.2712,3,-904.026225143266,788.3607712752004
1739219909.302599543,-0.052787961659725054,3.3412,3,-904.0002035110555,788.3399523643865
1739219909.317497463,-0.05787893519737257,3.326,3,-903.9480946114904,788.2978180492697
1739219909.334015890,-0.06016843082774151,3.3059,3,-903.9220419325617,788.2770958817583
1739219909.348788619,-0.07510237476290195,3.4142,3,-903.8686678771035,788.2222241611191
1739219909.361577621,-0.07649702588184908,3.4182,3,-903.8412015154835,788.2017379283121
1739219909.374585291,-0.08028797022062832,3.2933,3,-903.7881002500037,788.1608050671357
1739219909.393837183,-0.08284236052055535,3.262,3,-903.7624598449141,788.1401631012031
1739219909.413399651,-0.10432168122203564,3.3517,3,-903.7284178995983,788.0910100296827
1739219909.431117825,-0.109710658095222,3.377,3,-903.6755921362142,788.0485856965463
1739219909.448524749,-0.11465799389102367,3.3106,3,-903.623105551236,788.0070410864342
1739219909.467738462,-0.11692210249254442,3.3228,3,-903.5968339624185,787.9865781979335
1739219909.486248712,-0.15562972294162267,3.338,3,-903.5888866695898,787.9345155274714
1739219909.506076923,-0.1595419121435332,3.3572,3,-903.5356667175537,787.8939349667285
1739219909.525435188,-0.16309197613492227,3.3999,3,-903.4812865816041,787.8532342687336
1739219909.545570393,-0.1363325475247499,3.3369,3,-903.4204233242244,787.8446721654384
1739219909.559393949,-0.14157030674245624,3.2573,3,-903.3686445601278,787.8039123147976
1739219909.581407179,-0.14257892046062093,3.2601,3,-903.3420664224964,787.7850376412024
1739219909.602886362,-0.14249856478018535,3.3515,3,-903.2866554131623,787.7483112139629
1739219909.615974549,-0.14562391634930374,3.3039,3,-903.204664683773,787.6905287816453
1739219909.629736918,-0.1478905155143155,3.3066,3,-903.1782708671542,787.6704182428555
1739219909.642696234,-0.150040832362435,3.3374,3,-903.1515870047228,787.6503351719222
1739219909.655639804,-0.15307472871269248,3.2884,3,-903.0974859125766,787.6113630898328
1739219909.667778978,-0.15396581820190605,3.2301,3,-903.0706432743959,787.5927604938751
1739219909.682403539,-0.15445038460982516,3.1957,3,-903.0439374077208,787.5747328625982
1739219909.695367367,-0.16076400966139862,3.182,3,-903.0752156637267,787.5876273392095
1739219909.710452722,-0.16124671147093148,3.2345,3,-903.0484952533471,787.5695924328278
1739219909.722277446,-0.1615914123008043,3.27,3,-903.0213169784681,787.5515667929293
1739219909.742149532,-0.16092413753962526,3.2628,3,-902.9659260140809,787.5164997059285
1739219909.765395726,-0.1591885300048676,3.2335,3,-902.9103452274512,787.4826264872139
1739219909.778782906,-0.18494759538595315,3.1432,3,-902.8837662604543,787.4349809654242
1739219909.791674218,-0.1847615472393267,3.0827,3,-902.8574105741944,787.4183004009427
1739219909.808353294,-0.1843589561909242,3.0669,3,-902.8311916594529,787.4019647907934
1739219909.830463584,-0.18241338907565782,3.2315,3,-902.7768968267214,787.3696227174286
1739219909.849401762,-0.17756404125878114,3.2778,3,-902.6908305317753,787.3207204543977
1739219909.867419280,-0.17654513059859936,3.193,3,-902.6629334340183,787.3043561677284
1739219909.881429535,-0.1759438160335977,3.0721,3,-902.6094941954452,787.2720010850048
1739219909.893493569,-0.17559787112017286,3.1061,3,-902.5566550943577,787.2397170069365
1739219909.906033309,-0.17530425418307122,3.1157,3,-902.5296882690789,787.2239548214164
1739219909.919090710,-0.1754515454086007,3.1094,3,-902.502451442709,787.2086527258562
1739219909.932185490,-0.17549812796107675,3.104,3,-902.4752602065367,787.1934911717924
1739219909.945887759,-0.1452343377795759,3.141,3,-902.412282529,787.1931205160727
1739219909.958939976,-0.14505374044967972,3.1435,3,-902.3846389295579,787.1780868959063
1739219909.974913924,-0.14678229721839156,3.1458,3,-902.3567709194602,787.1635005670346
1739219909.999111308,-0.1497490173348767,3.1446,3,-902.3004783933683,787.1349687590628
1739219910.27114603,-0.15441827000699868,3.17,3,-902.2446346888381,787.104775667961
1739219910.55500416,-0.17182774484645655,3.1348,3,-902.1626707109509,787.057462044811
1739219910.78772406,-0.18173044589187518,3.1888,3,-902.106608096757,787.0276049025499
1739219910.104823561,-0.24044704700691424,3.1534,3,-902.0687046724327,786.9559130007341
1739219910.129313732,-0.2578838553529936,3.148,3,-902.0145029800809,786.9238173871137
1739219910.153754108,-0.2815581941379113,3.2473,3,-901.9285294486415,786.8791409468394
1739219910.171446682,-0.29148026086877865,3.0074,3,-901.8627857458628,786.8571828013777
1739219910.197537231,-0.311587985439797,3.1483,3,-901.8083777280297,786.8269217640266
1739219910.226446273,-0.3332170809526642,3.1066,3,-901.7520561145162,786.7980687258658
1739219910.250742833,-0.3705105172364844,3.022,3,-901.708842337796,786.756224015211
1739219910.269172057,-0.3982293177637722,3.1948,3,-901.6211116502683,786.7198592713545
